lat;lon;infos
47.477804;-0.60251;{}
47.477561;-0.601459;{}
47.476312;-0.599243;{}
47.476696;-0.599179;{}
47.477094;-0.599028;{}
47.477134;-0.598977;{}
47.477883;-0.602889;{}
47.479869;-0.601466;{}
47.478063;-0.603592;{}
47.478132;-0.603025;{}
47.477867;-0.602474;{}
47.480795;-0.594066;{}
47.470465;-0.569465;{}
47.478418;-0.556074;{}
47.483981;-0.553878;{}
47.484198;-0.553948;{}
47.484488;-0.55413;{}
47.484869;-0.554227;{}
47.486351;-0.555289;{}
47.492175;-0.556279;{}
47.491485;-0.560957;{}
47.492468;-0.566892;{}
47.492544;-0.567632;{}
47.494545;-0.571715;{}
47.495161;-0.572255;{}
47.494596;-0.574493;{}
47.478566;-0.56505;{}
47.471924;-0.567035;{}
47.472572;-0.566069;{}
47.47287;-0.56585;{}
47.47246;-0.565839;{}
47.471562;-0.564587;{}
47.471118;-0.56482;{}
47.470368;-0.568988;{}
47.470368;-0.568998;{}
47.473642;-0.575833;{}
47.472938;-0.576273;{}
47.472007;-0.58566;{}
47.472453;-0.541388;{}
47.484069;-0.526807;{}
47.483054;-0.526689;{}
47.478616;-0.528218;{}
47.473562;-0.538888;{}
47.488977;-0.526679;{}
47.48818;-0.526915;{}
47.471086;-0.551596;{}
47.471082;-0.551489;{}
47.471075;-0.551543;{}
47.471049;-0.55158;{}
47.470774;-0.551848;{}
47.471038;-0.552202;{}
47.472289;-0.552675;{}
47.472862;-0.552063;{}
47.472906;-0.551956;{}
47.472986;-0.553409;{}
47.473816;-0.555791;{}
47.4742;-0.555335;{}
47.47444;-0.552653;{}
47.473065;-0.549858;{}
47.475031;-0.549917;{}
47.47535;-0.549155;{}
47.475361;-0.548469;{}
47.474915;-0.547825;{}
47.47444;-0.546672;{}
47.47416;-0.546066;{}
47.473867;-0.545374;{}
47.473617;-0.544719;{}
47.476042;-0.550411;{}
47.476336;-0.551033;{}
47.476757;-0.55202;{}
47.476905;-0.551741;{}
47.471078;-0.550073;{}
47.471383;-0.549569;{}
47.471822;-0.548984;{}
47.47213;-0.548592;{}
47.471474;-0.546865;{}
47.472398;-0.545905;{}
47.471459;-0.54554;{}
47.474411;-0.558436;{}
47.474969;-0.559584;{}
47.474382;-0.560528;{}
47.474113;-0.560807;{}
47.474084;-0.560646;{}
47.473047;-0.562266;{}
47.469635;-0.548775;{}
47.469174;-0.549354;{}
47.468373;-0.550223;{}
47.468192;-0.550711;{}
47.467854;-0.55091;{}
47.466643;-0.552776;{}
47.466266;-0.552921;{}
47.46463;-0.559374;{}
47.466908;-0.553763;{}
47.467217;-0.554541;{}
47.467405;-0.555582;{}
47.468726;-0.558581;{}
47.465186;-0.554397;{}
47.464743;-0.558908;{}
47.464979;-0.557197;{}
47.465218;-0.554568;{}
47.468682;-0.5532;{}
47.468555;-0.552953;{}
47.468797;-0.553506;{}
47.469944;-0.554155;{}
47.469218;-0.552304;{}
47.464518;-0.555464;{}
47.461015;-0.554616;{}
47.459256;-0.554456;{}
47.452788;-0.541259;{}
47.44389;-0.553635;{}
47.44324;-0.560174;{}
47.447202;-0.561301;{}
47.446135;-0.562212;{}
47.473403;-0.544735;{}
47.473184;-0.543762;{}
47.472187;-0.541416;{}
47.471591;-0.538518;{}
47.471322;-0.538089;{}
47.471249;-0.537343;{}
47.469379;-0.533023;{}
47.469078;-0.532486;{}
47.468841;-0.5321;{}
47.468843;-0.532129;{}
47.471203;-0.531256;{}
47.471069;-0.531439;{}
47.473287;-0.529822;{}
47.46182;-0.532617;{}
47.472329;-0.599695;{}
47.473185;-0.599089;{}
47.473409;-0.596607;{}
47.473155;-0.596715;{}
47.473435;-0.594399;{}
47.473591;-0.59201;{}
47.473098;-0.59206;{}
47.473233;-0.58975;{}
47.473765;-0.587647;{}
47.473359;-0.587797;{}
47.473374;-0.586338;{}
47.473751;-0.584865;{}
47.473311;-0.579321;{}
47.473731;-0.578592;{}
47.473424;-0.577544;{}
47.493465;-0.565801;{}
47.493483;-0.566359;{}
47.493911;-0.566188;{}
47.482953;-0.57543;{}
47.467949;-0.526271;{}
47.467459;-0.520746;{}
47.479182;-0.548968;{}
47.480368;-0.554413;{}
47.476372;-0.614215;{}
47.476706;-0.614349;{}
47.476688;-0.614333;{}
47.467789;-0.5942;{}
47.46772;-0.595027;{}
47.487335;-0.573569;{}
47.47011;-0.547718;{}
47.4711;-0.551559;{"name":"Caméra"}
47.473269;-0.55835;{}